# SLIMED mesh faces: v0, v1, v2, copy
25,26,0,1
26,1,0,1
26,27,1,1
27,2,1,1
27,28,2,1
28,3,2,1
28,29,3,1
29,4,3,1
29,30,4,1
30,5,4,1
30,31,5,1
31,6,5,1
31,32,6,1
32,7,6,1
32,33,7,1
33,8,7,1
33,34,8,1
34,9,8,1
34,35,9,1
35,10,9,1
35,36,10,1
36,11,10,1
36,37,11,1
37,12,11,1
37,38,12,1
38,13,12,1
38,39,13,1
39,14,13,1
39,40,14,1
40,15,14,1
40,41,15,1
41,16,15,1
41,42,16,1
42,17,16,1
42,43,17,1
43,18,17,1
43,44,18,1
44,19,18,1
44,45,19,1
45,20,19,1
45,46,20,1
46,21,20,1
46,47,21,1
47,22,21,1
47,48,22,1
48,23,22,1
48,49,23,1
49,24,23,1
25,50,26,1
50,51,26,1
26,51,27,1
51,52,27,1
27,52,28,1
52,53,28,1
28,53,29,1
53,54,29,1
29,54,30,1
54,55,30,1
30,55,31,1
55,56,31,1
31,56,32,1
56,57,32,1
32,57,33,1
57,58,33,1
33,58,34,1
58,59,34,1
34,59,35,1
59,60,35,1
35,60,36,1
60,61,36,1
36,61,37,1
61,62,37,1
37,62,38,1
62,63,38,1
38,63,39,1
63,64,39,1
39,64,40,1
64,65,40,1
40,65,41,1
65,66,41,1
41,66,42,1
66,67,42,1
42,67,43,1
67,68,43,1
43,68,44,1
68,69,44,1
44,69,45,1
69,70,45,1
45,70,46,1
70,71,46,1
46,71,47,1
71,72,47,1
47,72,48,1
72,73,48,1
48,73,49,1
73,74,49,1
75,76,50,1
76,51,50,1
76,77,51,1
77,52,51,1
77,78,52,1
78,53,52,1
78,79,53,1
79,54,53,1
79,80,54,1
80,55,54,1
80,81,55,1
81,56,55,1
81,82,56,1
82,57,56,1
82,83,57,1
83,58,57,1
83,84,58,1
84,59,58,1
84,85,59,1
85,60,59,1
85,86,60,1
86,61,60,1
86,87,61,1
87,62,61,1
87,88,62,1
88,63,62,1
88,89,63,1
89,64,63,1
89,90,64,1
90,65,64,1
90,91,65,1
91,66,65,1
91,92,66,1
92,67,66,1
92,93,67,1
93,68,67,1
93,94,68,1
94,69,68,1
94,95,69,1
95,70,69,1
95,96,70,1
96,71,70,1
96,97,71,1
97,72,71,1
97,98,72,1
98,73,72,1
98,99,73,1
99,74,73,1
75,100,76,1
100,101,76,1
76,101,77,1
101,102,77,1
77,102,78,1
102,103,78,1
78,103,79,0
103,104,79,0
79,104,80,0
104,105,80,0
80,105,81,0
105,106,81,0
81,106,82,0
106,107,82,0
82,107,83,0
107,108,83,0
83,108,84,0
108,109,84,0
84,109,85,0
109,110,85,0
85,110,86,0
110,111,86,0
86,111,87,0
111,112,87,0
87,112,88,0
112,113,88,0
88,113,89,0
113,114,89,0
89,114,90,0
114,115,90,0
90,115,91,0
115,116,91,0
91,116,92,0
116,117,92,0
92,117,93,0
117,118,93,0
93,118,94,0
118,119,94,0
94,119,95,0
119,120,95,0
95,120,96,0
120,121,96,0
96,121,97,1
121,122,97,1
97,122,98,1
122,123,98,1
98,123,99,1
123,124,99,1
125,126,100,1
126,101,100,1
126,127,101,1
127,102,101,1
127,128,102,1
128,103,102,1
128,129,103,0
129,104,103,0
129,130,104,0
130,105,104,0
130,131,105,0
131,106,105,0
131,132,106,0
132,107,106,0
132,133,107,0
133,108,107,0
133,134,108,0
134,109,108,0
134,135,109,0
135,110,109,0
135,136,110,0
136,111,110,0
136,137,111,0
137,112,111,0
137,138,112,0
138,113,112,0
138,139,113,0
139,114,113,0
139,140,114,0
140,115,114,0
140,141,115,0
141,116,115,0
141,142,116,0
142,117,116,0
142,143,117,0
143,118,117,0
143,144,118,0
144,119,118,0
144,145,119,0
145,120,119,0
145,146,120,0
146,121,120,0
146,147,121,1
147,122,121,1
147,148,122,1
148,123,122,1
148,149,123,1
149,124,123,1
125,150,126,1
150,151,126,1
126,151,127,1
151,152,127,1
127,152,128,1
152,153,128,1
128,153,129,0
153,154,129,0
129,154,130,0
154,155,130,0
130,155,131,0
155,156,131,0
131,156,132,0
156,157,132,0
132,157,133,0
157,158,133,0
133,158,134,0
158,159,134,0
134,159,135,0
159,160,135,0
135,160,136,0
160,161,136,0
136,161,137,0
161,162,137,0
137,162,138,0
162,163,138,0
138,163,139,0
163,164,139,0
139,164,140,0
164,165,140,0
140,165,141,0
165,166,141,0
141,166,142,0
166,167,142,0
142,167,143,0
167,168,143,0
143,168,144,0
168,169,144,0
144,169,145,0
169,170,145,0
145,170,146,0
170,171,146,0
146,171,147,1
171,172,147,1
147,172,148,1
172,173,148,1
148,173,149,1
173,174,149,1
175,176,150,1
176,151,150,1
176,177,151,1
177,152,151,1
177,178,152,1
178,153,152,1
178,179,153,0
179,154,153,0
179,180,154,0
180,155,154,0
180,181,155,0
181,156,155,0
181,182,156,0
182,157,156,0
182,183,157,0
183,158,157,0
183,184,158,0
184,159,158,0
184,185,159,0
185,160,159,0
185,186,160,0
186,161,160,0
186,187,161,0
187,162,161,0
187,188,162,0
188,163,162,0
188,189,163,0
189,164,163,0
189,190,164,0
190,165,164,0
190,191,165,0
191,166,165,0
191,192,166,0
192,167,166,0
192,193,167,0
193,168,167,0
193,194,168,0
194,169,168,0
194,195,169,0
195,170,169,0
195,196,170,0
196,171,170,0
196,197,171,1
197,172,171,1
197,198,172,1
198,173,172,1
198,199,173,1
199,174,173,1
175,200,176,1
200,201,176,1
176,201,177,1
201,202,177,1
177,202,178,1
202,203,178,1
178,203,179,0
203,204,179,0
179,204,180,0
204,205,180,0
180,205,181,0
205,206,181,0
181,206,182,0
206,207,182,0
182,207,183,0
207,208,183,0
183,208,184,0
208,209,184,0
184,209,185,0
209,210,185,0
185,210,186,0
210,211,186,0
186,211,187,0
211,212,187,0
187,212,188,0
212,213,188,0
188,213,189,0
213,214,189,0
189,214,190,0
214,215,190,0
190,215,191,0
215,216,191,0
191,216,192,0
216,217,192,0
192,217,193,0
217,218,193,0
193,218,194,0
218,219,194,0
194,219,195,0
219,220,195,0
195,220,196,0
220,221,196,0
196,221,197,1
221,222,197,1
197,222,198,1
222,223,198,1
198,223,199,1
223,224,199,1
225,226,200,1
226,201,200,1
226,227,201,1
227,202,201,1
227,228,202,1
228,203,202,1
228,229,203,0
229,204,203,0
229,230,204,0
230,205,204,0
230,231,205,0
231,206,205,0
231,232,206,0
232,207,206,0
232,233,207,0
233,208,207,0
233,234,208,0
234,209,208,0
234,235,209,0
235,210,209,0
235,236,210,0
236,211,210,0
236,237,211,0
237,212,211,0
237,238,212,0
238,213,212,0
238,239,213,0
239,214,213,0
239,240,214,0
240,215,214,0
240,241,215,0
241,216,215,0
241,242,216,0
242,217,216,0
242,243,217,0
243,218,217,0
243,244,218,0
244,219,218,0
244,245,219,0
245,220,219,0
245,246,220,0
246,221,220,0
246,247,221,1
247,222,221,1
247,248,222,1
248,223,222,1
248,249,223,1
249,224,223,1
225,250,226,1
250,251,226,1
226,251,227,1
251,252,227,1
227,252,228,1
252,253,228,1
228,253,229,0
253,254,229,0
229,254,230,0
254,255,230,0
230,255,231,0
255,256,231,0
231,256,232,0
256,257,232,0
232,257,233,0
257,258,233,0
233,258,234,0
258,259,234,0
234,259,235,0
259,260,235,0
235,260,236,0
260,261,236,0
236,261,237,0
261,262,237,0
237,262,238,0
262,263,238,0
238,263,239,0
263,264,239,0
239,264,240,0
264,265,240,0
240,265,241,0
265,266,241,0
241,266,242,0
266,267,242,0
242,267,243,0
267,268,243,0
243,268,244,0
268,269,244,0
244,269,245,0
269,270,245,0
245,270,246,0
270,271,246,0
246,271,247,1
271,272,247,1
247,272,248,1
272,273,248,1
248,273,249,1
273,274,249,1
275,276,250,1
276,251,250,1
276,277,251,1
277,252,251,1
277,278,252,1
278,253,252,1
278,279,253,0
279,254,253,0
279,280,254,0
280,255,254,0
280,281,255,0
281,256,255,0
281,282,256,0
282,257,256,0
282,283,257,0
283,258,257,0
283,284,258,0
284,259,258,0
284,285,259,0
285,260,259,0
285,286,260,0
286,261,260,0
286,287,261,0
287,262,261,0
287,288,262,0
288,263,262,0
288,289,263,0
289,264,263,0
289,290,264,0
290,265,264,0
290,291,265,0
291,266,265,0
291,292,266,0
292,267,266,0
292,293,267,0
293,268,267,0
293,294,268,0
294,269,268,0
294,295,269,0
295,270,269,0
295,296,270,0
296,271,270,0
296,297,271,1
297,272,271,1
297,298,272,1
298,273,272,1
298,299,273,1
299,274,273,1
275,300,276,1
300,301,276,1
276,301,277,1
301,302,277,1
277,302,278,1
302,303,278,1
278,303,279,0
303,304,279,0
279,304,280,0
304,305,280,0
280,305,281,0
305,306,281,0
281,306,282,0
306,307,282,0
282,307,283,0
307,308,283,0
283,308,284,0
308,309,284,0
284,309,285,0
309,310,285,0
285,310,286,0
288,311,289,0
311,312,289,0
289,312,290,0
312,313,290,0
290,313,291,0
313,314,291,0
291,314,292,0
314,315,292,0
292,315,293,0
315,316,293,0
293,316,294,0
316,317,294,0
294,317,295,0
317,318,295,0
295,318,296,0
318,319,296,0
296,319,297,1
319,320,297,1
297,320,298,1
320,321,298,1
298,321,299,1
321,322,299,1
323,324,300,1
324,301,300,1
324,325,301,1
325,302,301,1
325,326,302,1
326,303,302,1
326,327,303,0
327,304,303,0
327,328,304,0
328,305,304,0
328,329,305,0
329,306,305,0
329,330,306,0
330,307,306,0
330,331,307,0
331,308,307,0
331,332,308,0
332,309,308,0
332,333,309,0
