# SLIMED mesh vertices: x, y, z, type, mirror
-57.5,-60.621778264910702,0,periodic,554
-52.5,-60.621778264910702,0,periodic,555
-47.5,-60.621778264910702,0,periodic,556
-42.5,-60.621778264910702,0,periodic,539
-37.5,-60.621778264910702,0,periodic,540
-32.5,-60.621778264910702,0,periodic,541
-27.5,-60.621778264910702,0,periodic,542
-22.5,-60.621778264910702,0,periodic,543
-17.5,-60.621778264910702,0,periodic,544
-12.5,-60.621778264910702,0.0015165301804155756,periodic,545
-7.5,-60.621778264910702,0.11642223348038802,periodic,546
-2.5,-60.621778264910702,0.24019275977079954,periodic,547
2.5,-60.621778264910702,0.24019275977079954,periodic,548
7.5,-60.621778264910702,0.11642223348038802,periodic,549
12.5,-60.621778264910702,0.0015165301804155756,periodic,550
17.5,-60.621778264910702,0,periodic,551
22.5,-60.621778264910702,0,periodic,552
27.5,-60.621778264910702,0,periodic,553
32.5,-60.621778264910702,0,periodic,554
37.5,-60.621778264910702,0,periodic,555
42.5,-60.621778264910702,0,periodic,556
47.5,-60.621778264910702,0,periodic,539
52.5,-60.621778264910702,0,periodic,540
57.5,-60.621778264910702,0,periodic,541
62.5,-60.621778264910702,0,periodic,542
-60,-56.291651245988511,0,periodic,579
-55,-56.291651245988511,0,periodic,580
-50,-56.291651245988511,0,periodic,581
-45,-56.291651245988511,0,periodic,564
-40,-56.291651245988511,0,periodic,565
-35,-56.291651245988511,0,periodic,566
-30,-56.291651245988511,0,periodic,567
-25,-56.291651245988511,0,periodic,568
-20,-56.291651245988511,0,periodic,569
-15,-56.291651245988511,0,periodic,570
-10,-56.291651245988511,0,periodic,571
-5,-56.291651245988511,0,periodic,572
0,-56.291651245988511,0,periodic,573
5,-56.291651245988511,0,periodic,574
10,-56.291651245988511,0,periodic,575
15,-56.291651245988511,0,periodic,576
20,-56.291651245988511,0,periodic,577
25,-56.291651245988511,0,periodic,578
30,-56.291651245988511,0,periodic,579
35,-56.291651245988511,0,periodic,580
40,-56.291651245988511,0,periodic,581
45,-56.291651245988511,0,periodic,564
50,-56.291651245988511,0,periodic,565
55,-56.291651245988511,0,periodic,566
60,-56.291651245988511,0,periodic,567
-57.5,-51.96152422706632,0,periodic,604
-52.5,-51.96152422706632,0,periodic,605
-47.5,-51.96152422706632,0,periodic,606
-42.5,-51.96152422706632,0,periodic,589
-37.5,-51.96152422706632,0,periodic,590
-32.5,-51.96152422706632,0,periodic,591
-27.5,-51.96152422706632,0,periodic,592
-22.5,-51.96152422706632,0,periodic,593
-17.5,-51.96152422706632,0,periodic,594
-12.5,-51.96152422706632,0,periodic,595
-7.5,-51.96152422706632,0,periodic,596
-2.5,-51.96152422706632,0,periodic,597
2.5,-51.96152422706632,0,periodic,598
7.5,-51.96152422706632,0,periodic,599
12.5,-51.96152422706632,0,periodic,600
17.5,-51.96152422706632,0,periodic,601
22.5,-51.96152422706632,0,periodic,602
27.5,-51.96152422706632,0,periodic,603
32.5,-51.96152422706632,0,periodic,604
37.5,-51.96152422706632,0,periodic,605
42.5,-51.96152422706632,0,periodic,606
47.5,-51.96152422706632,0,periodic,589
52.5,-51.96152422706632,0,periodic,590
57.5,-51.96152422706632,0,periodic,591
62.5,-51.96152422706632,0,periodic,592
-60,-47.631397208144122,0,periodic,93
-55,-47.631397208144122,0,periodic,94
-50,-47.631397208144122,0,periodic,95
-45,-47.631397208144122,0,free,-1
-40,-47.631397208144122,0,free,-1
-35,-47.631397208144122,0,free,-1
-30,-47.631397208144122,0,free,-1
-25,-47.631397208144122,0,free,-1
-20,-47.631397208144122,0,free,-1
-15,-47.631397208144122,0,free,-1
-10,-47.631397208144122,0,free,-1
-5,-47.631397208144122,0,free,-1
0,-47.631397208144122,0,free,-1
5,-47.631397208144122,0,free,-1
10,-47.631397208144122,0,free,-1
