# SLIMED mesh faces: v0, v1, v2, copy
13,14,0,1
14,1,0,1
14,15,1,1
15,2,1,1
15,16,2,1
16,3,2,1
16,17,3,0
17,4,3,0
17,18,4,0
18,5,4,0
18,19,5,0
19,6,5,0
19,20,6,0
20,7,6,0
20,21,7,0
21,8,7,0
21,22,8,0
22,9,8,0
22,23,9,1
23,10,9,1
23,24,10,1
24,11,10,1
24,25,11,1
25,12,11,1
13,26,14,1
26,27,14,1
14,27,15,1
27,28,15,1
15,28,16,1
28,29,16,1
16,29,17,0
29,30,17,0
17,30,18,0
30,31,18,0
18,31,19,0
31,32,19,0
19,32,20,0
32,33,20,0
20,33,21,0
33,34,21,0
21,34,22,0
34,35,22,0
22,35,23,1
35,36,23,1
23,36,24,1
36,37,24,1
24,37,25,1
37,38,25,1
39,40,26,1
40,27,26,1
40,41,27,1
41,28,27,1
41,42,28,1
42,29,28,1
42,43,29,0
43,30,29,0
43,44,30,0
44,31,30,0
44,45,31,0
45,32,31,0
45,46,32,0
46,33,32,0
46,47,33,0
47,34,33,0
47,48,34,0
48,35,34,0
48,49,35,1
49,36,35,1
49,50,36,1
50,37,36,1
50,51,37,1
51,38,37,1
39,52,40,1
52,53,40,1
40,53,41,1
53,54,41,1
41,54,42,1
54,55,42,1
42,55,43,0
55,56,43,0
43,56,44,0
56,57,44,0
44,57,45,0
57,58,45,0
45,58,46,0
58,59,46,0
46,59,47,0
59,60,47,0
47,60,48,0
60,61,48,0
48,61,49,1
61,62,49,1
49,62,50,1
62,63,50,1
50,63,51,1
63,64,51,1
65,66,52,1
66,53,52,1
66,67,53,1
67,54,53,1
67,68,54,1
68,55,54,1
68,69,55,0
69,56,55,0
69,70,56,0
70,57,56,0
70,71,57,0
71,58,57,0
71,72,58,0
72,59,58,0
72,73,59,0
73,60,59,0
73,74,60,0
74,61,60,0
74,75,61,1
75,62,61,1
75,76,62,1
76,63,62,1
76,77,63,1
77,64,63,1
65,78,66,1
78,79,66,1
66,79,67,1
79,80,67,1
67,80,68,1
80,81,68,1
68,81,69,0
81,82,69,0
69,82,70,0
82,83,70,0
70,83,71,0
83,84,71,0
71,84,72,0
84,85,72,0
72,85,73,0
85,86,73,0
73,86,74,0
86,87,74,0
74,87,75,1
87,88,75,1
75,88,76,1
88,89,76,1
76,89,77,1
89,90,77,1
91,92,78,1
92,79,78,1
92,93,79,1
93,80,79,1
93,94,80,1
94,81,80,1
94,95,81,0
95,82,81,0
95,96,82,0
96,83,82,0
96,97,83,0
97,84,83,0
97,98,84,0
98,85,84,0
98,99,85,0
99,86,85,0
99,100,86,0
100,87,86,0
100,101,87,1
101,88,87,1
101,102,88,1
102,89,88,1
102,103,89,1
103,90,89,1
91,104,92,1
104,105,92,1
92,105,93,1
105,106,93,1
93,106,94,1
106,107,94,1
94,107,95,0
107,108,95,0
95,108,96,0
108,109,96,0
96,109,97,0
109,110,97,0
97,110,98,0
110,111,98,0
98,111,99,0
111,112,99,0
99,112,100,0
112,113,100,0
100,113,101,1
113,114,101,1
101,114,102,1
114,115,102,1
102,115,103,1
115,116,103,1
117,118,104,1
118,105,104,1
118,119,105,1
119,106,105,1
119,120,106,1
120,107,106,1
120,121,107,0
121,108,107,0
121,122,108,0
122,109,108,0
122,123,109,0
123,110,109,0
123,124,110,0
124,111,110,0
124,125,111,0
125,112,111,0
125,126,112,0
126,113,112,0
126,127,113,1
127,114,113,1
127,128,114,1
128,115,114,1
128,129,115,1
129,116,115,1
117,130,118,1
130,131,118,1
118,131,119,1
131,132,119,1
119,132,120,1
132,133,120,1
120,133,121,0
133,134,121,0
121,134,122,0
134,135,122,0
122,135,123,0
135,136,123,0
123,136,124,0
136,137,124,0
124,137,125,0
137,138,125,0
125,138,126,0
138,139,126,0
126,139,127,1
139,140,127,1
127,140,128,1
140,141,128,1
128,141,129,1
141,142,129,1
143,144,130,1
144,131,130,1
144,145,131,1
145,132,131,1
145,146,132,1
146,133,132,1
146,147,133,0
147,134,133,0
147,148,134,0
148,135,134,0
148,149,135,0
149,136,135,0
149,150,136,0
150,137,136,0
150,151,137,0
151,138,137,0
151,152,138,0
152,139,138,0
152,153,139,1
153,140,139,1
153,154,140,1
154,141,140,1
154,155,141,1
155,142,141,1
143,156,144,1
156,157,144,1
144,157,145,1
157,158,145,1
145,158,146,1
158,159,146,1
146,159,147,0
159,160,147,0
147,160,148,0
160,161,148,0
148,161,149,0
161,162,149,0
149,162,150,0
162,163,150,0
150,163,151,0
163,164,151,0
151,164,152,0
164,165,152,0
152,165,153,1
165,166,153,1
153,166,154,1
166,167,154,1
154,167,155,1
167,168,155,1
169,170,156,1
170,157,156,1
170,171,157,1
171,158,157,1
171,172,158,1
172,159,158,1
172,173,159,0
173,160,159,0
173,174,160,0
174,161,160,0
174,175,161,0
175,162,161,0
175,176,162,0
176,163,162,0
176,177,163,0
177,164,163,0
177,178,164,0
178,165,164,0
178,179,165,1
179,166,165,1
179,180,166,1
180,167,166,1
180,181,167,1
181,168,167,1
169,182,170,1
182,183,170,1
170,183,171,1
183,184,171,1
171,184,172,1
184,185,172,1
172,185,173,0
185,186,173,0
173,186,174,0
186,187,174,0
174,187,175,0
187,188,175,0
175,188,176,0
188,189,176,0
176,189,177,0
189,190,177,0
177,190,178,0
190,191,178,0
178,191,179,1
191,192,179,1
179,192,180,1
192,193,180,1
180,193,181,1
193,194,181,1
