# SLIMED mesh vertices: x, y, z, type, mirror
-27.5,-30.310889132455351,10,periodic,6
-22.5,-30.310889132455351,10,periodic,7
-17.5,-30.310889132455351,10,periodic,8
-12.5,-30.310889132455351,10,fixed,-1
-7.5,-30.310889132455351,10,fixed,-1
-2.5,-30.310889132455351,10,fixed,-1
2.5,-30.310889132455351,10,fixed,-1
7.5,-30.310889132455351,10,fixed,-1
12.5,-30.310889132455351,10,fixed,-1
17.5,-30.310889132455351,10,periodic,3
22.5,-30.310889132455351,10,periodic,4
27.5,-30.310889132455351,10,periodic,5
32.5,-30.310889132455351,10,periodic,6
-30,-25.98076211353316,10,periodic,19
-25,-25.98076211353316,10,periodic,20
-20,-25.98076211353316,10,periodic,21
-15,-25.98076211353316,10,free,-1
-10,-25.98076211353316,10,free,-1
-5,-25.98076211353316,10,free,-1
0,-25.98076211353316,10,free,-1
5,-25.98076211353316,10,free,-1
10,-25.98076211353316,10,free,-1
15,-25.98076211353316,10,periodic,16
20,-25.98076211353316,10,periodic,17
25,-25.98076211353316,10,periodic,18
30,-25.98076211353316,10,periodic,19
-27.5,-21.650635094610966,10,periodic,32
-22.5,-21.650635094610966,10,periodic,33
-17.5,-21.650635094610966,10,periodic,34
-12.5,-21.650635094610966,10,free,-1
-7.5,-21.650635094610966,10,free,-1
-2.5,-21.650635094610966,10,free,-1
2.5,-21.650635094610966,10,free,-1
7.5,-21.650635094610966,10,free,-1
12.5,-21.650635094610966,10,free,-1
17.5,-21.650635094610966,10,periodic,29
22.5,-21.650635094610966,10,periodic,30
27.5,-21.650635094610966,10,periodic,31
32.5,-21.650635094610966,10,periodic,32
-30,-17.320508075688771,10,periodic,45
-25,-17.320508075688771,10,periodic,46
-20,-17.320508075688771,10,periodic,47
-15,-17.320508075688771,10,free,-1
-10,-17.320508075688771,10,free,-1
-5,-17.320508075688771,10,free,-1
0,-17.320508075688771,10,free,-1
5,-17.320508075688771,10,free,-1
10,-17.320508075688771,10,free,-1
15,-17.320508075688771,10,periodic,42
20,-17.320508075688771,10,periodic,43
25,-17.320508075688771,10,periodic,44
30,-17.320508075688771,10,periodic,45
-27.5,-12.99038105676658,10,periodic,58
-22.5,-12.99038105676658,10,periodic,59
-17.5,-12.99038105676658,10,periodic,60
-12.5,-12.99038105676658,10,free,-1
-7.5,-12.99038105676658,10,free,-1
-2.5,-12.99038105676658,10,free,-1
2.5,-12.99038105676658,10,free,-1
7.5,-12.99038105676658,10,free,-1
12.5,-12.99038105676658,10,free,-1
17.5,-12.99038105676658,10,periodic,55
22.5,-12.99038105676658,10,periodic,56
27.5,-12.99038105676658,10,periodic,57
32.5,-12.99038105676658,10,periodic,58
-30,-8.6602540378443891,10,periodic,71
-25,-8.6602540378443891,10,periodic,72
-20,-8.6602540378443891,10,periodic,73
-15,-8.6602540378443891,10,free,-1
-10,-8.6602540378443891,10,free,-1
-5,-8.6602540378443891,10,free,-1
0,-8.6602540378443891,10,free,-1
5,-8.6602540378443891,10,free,-1
10,-8.6602540378443891,10,free,-1
15,-8.6602540378443891,10,periodic,68
20,-8.6602540378443891,10,periodic,69
25,-8.6602540378443891,10,periodic,70
30,-8.6602540378443891,10,periodic,71
-27.5,-4.3301270189221945,10,periodic,84
-22.5,-4.3301270189221945,10,periodic,85
-17.5,-4.3301270189221945,10,periodic,86
-12.5,-4.3301270189221945,10,free,-1
-7.5,-4.3301270189221945,10,free,-1
-2.5,-4.3301270189221945,10,free,-1
2.5,-4.3301270189221945,10,free,-1
7.5,-4.3301270189221945,10,free,-1
12.5,-4.3301270189221945,10,free,-1
17.5,-4.3301270189221945,10,periodic,81
22.5,-4.3301270189221945,10,periodic,82
27.5,-4.3301270189221945,10,periodic,83
32.5,-4.3301270189221945,10,periodic,84
-30,0,10,periodic,97
-25,0,10,periodic,98
-20,0,10,periodic,99
-15,0,10,free,-1
-10,0,10,free,-1
-5,0,10,free,-1
0,0,10,free,-1
5,0,10,free,-1
10,0,10,free,-1
15,0,10,periodic,94
20,0,10,periodic,95
25,0,10,periodic,96
30,0,10,periodic,97
-27.5,4.330127018922191,10,periodic,110
-22.5,4.330127018922191,10,periodic,111
-17.5,4.330127018922191,10,periodic,112
-12.5,4.330127018922191,10,free,-1
-7.5,4.330127018922191,10,free,-1
-2.5,4.330127018922191,10,free,-1
2.5,4.330127018922191,10,free,-1
7.5,4.330127018922191,10,free,-1
12.5,4.330127018922191,10,free,-1
17.5,4.330127018922191,10,periodic,107
22.5,4.330127018922191,10,periodic,108
27.5,4.330127018922191,10,periodic,109
32.5,4.330127018922191,10,periodic,110
-30,8.660254037844382,10,periodic,123
-25,8.660254037844382,10,periodic,124
-20,8.660254037844382,10,periodic,125
-15,8.660254037844382,10,free,-1
-10,8.660254037844382,10,free,-1
-5,8.660254037844382,10,free,-1
0,8.660254037844382,10,free,-1
5,8.660254037844382,10,free,-1
10,8.660254037844382,10,free,-1
15,8.660254037844382,10,periodic,120
20,8.660254037844382,10,periodic,121
25,8.660254037844382,10,periodic,122
30,8.660254037844382,10,periodic,123
-27.5,12.990381056766573,10,periodic,136
-22.5,12.990381056766573,10,periodic,137
-17.5,12.990381056766573,10,periodic,138
-12.5,12.990381056766573,10,free,-1
-7.5,12.990381056766573,10,free,-1
-2.5,12.990381056766573,10,free,-1
2.5,12.990381056766573,10,free,-1
7.5,12.990381056766573,10,free,-1
12.5,12.990381056766573,10,free,-1
17.5,12.990381056766573,10,periodic,133
22.5,12.990381056766573,10,periodic,134
27.5,12.990381056766573,10,periodic,135
32.5,12.990381056766573,10,periodic,136
-30,17.320508075688771,10,periodic,149
-25,17.320508075688771,10,periodic,150
-20,17.320508075688771,10,periodic,151
-15,17.320508075688771,10,free,-1
-10,17.320508075688771,10,free,-1
-5,17.320508075688771,10,free,-1
0,17.320508075688771,10,free,-1
5,17.320508075688771,10,free,-1
10,17.320508075688771,10,free,-1
15,17.320508075688771,10,periodic,146
20,17.320508075688771,10,periodic,147
25,17.320508075688771,10,periodic,148
30,17.320508075688771,10,periodic,149
-27.5,21.650635094610962,10,periodic,162
-22.5,21.650635094610962,10,periodic,163
-17.5,21.650635094610962,10,periodic,164
-12.5,21.650635094610962,10,free,-1
-7.5,21.650635094610962,10,free,-1
-2.5,21.650635094610962,10,free,-1
2.5,21.650635094610962,10,free,-1
7.5,21.650635094610962,10,free,-1
12.5,21.650635094610962,10,free,-1
17.5,21.650635094610962,10,periodic,159
22.5,21.650635094610962,10,periodic,160
27.5,21.650635094610962,10,periodic,161
32.5,21.650635094610962,10,periodic,162
-30,25.980762113533153,10,periodic,175
-25,25.980762113533153,10,periodic,176
-20,25.980762113533153,10,periodic,177
-15,25.980762113533153,10,free,-1
-10,25.980762113533153,10,free,-1
-5,25.980762113533153,10,free,-1
0,25.980762113533153,10,free,-1
5,25.980762113533153,10,free,-1
10,25.980762113533153,10,free,-1
15,25.980762113533153,10,periodic,172
20,25.980762113533153,10,periodic,173
25,25.980762113533153,10,periodic,174
30,25.980762113533153,10,periodic,175
-27.5,30.310889132455351,10,periodic,188
-22.5,30.310889132455351,10,periodic,189
-17.5,30.310889132455351,10,periodic,190
-12.5,30.310889132455351,10,fixed,-1
-7.5,30.310889132455351,10,fixed,-1
-2.5,30.310889132455351,10,fixed,-1
2.5,30.310889132455351,10,fixed,-1
7.5,30.310889132455351,10,fixed,-1
12.5,30.310889132455351,10,fixed,-1
17.5,30.310889132455351,10,periodic,185
22.5,30.310889132455351,10,periodic,186
27.5,30.310889132455351,10,periodic,187
32.5,30.310889132455351,10,periodic,188
