r,h
3.500000000000000000e+01,1.505614542068747361e-18
3.508508508508508328e+01,-6.255465313519473214e-02
3.517017017017017366e+01,-1.248248943922854043e-01
3.525525525525525694e+01,-1.868133551252965097e-01
3.534034034034034022e+01,-2.485226247201633432e-01
3.542542542542542350e+01,-3.099552515257022467e-01
3.551051051051051388e+01,-3.711137437593179378e-01
3.559559559559559716e+01,-4.320005703881416026e-01
3.568068068068068044e+01,-4.926181619864143379e-01
3.576576576576576372e+01,-5.529689115697242752e-01
3.585085085085085410e+01,-6.130551754068694903e-01
3.593593593593593738e+01,-6.728792738099537152e-01
3.602102102102102066e+01,-7.324434919034460423e-01
3.610610610610610394e+01,-7.917500803727307579e-01
3.619119119119119432e+01,-8.508012561928399720e-01
3.627627627627627760e+01,-9.095992033379001196e-01
3.636136136136136088e+01,-9.681460734719438133e-01
3.644644644644644416e+01,-1.026443986621546234e+00
3.653153153153153454e+01,-1.084495031830901901e+00
3.661661661661661782e+01,-1.142301267799807007e+00
3.670170170170170110e+01,-1.199864723505130071e+00
3.678678678678678438e+01,-1.257187398806165701e+00
3.687187187187187476e+01,-1.314271265034423042e+00
3.695695695695695804e+01,-1.371118265568251893e+00
3.704204204204204132e+01,-1.427730316392832988e+00
3.712712712712712460e+01,-1.484109306645862381e+00
3.721221221221221498e+01,-1.540257099149433317e+00
3.729729729729729826e+01,-1.596175530928458652e+00
3.738238238238238154e+01,-1.651866413716106319e+00
3.746746746746746481e+01,-1.707331534446532517e+00
3.755255255255255520e+01,-1.762572655735358484e+00
3.763763763763763848e+01,-1.817591516348192604e+00
3.772272272272272176e+01,-1.872389831657617298e+00
3.780780780780780503e+01,-1.926969294088884732e+00
3.789289289289289542e+01,-1.981331573554721226e+00
3.797797797797797870e+01,-2.035478317879498622e+00
3.806306306306306197e+01,-2.089411153213152517e+00
3.814814814814814525e+01,-2.143131684435048534e+00
3.823323323323323564e+01,-2.196641495548164347e+00
3.831831831831831892e+01,-2.249942150063796387e+00
3.840340340340340219e+01,-2.303035191377148738e+00
3.848848848848848547e+01,-2.355922143133959867e+00
3.857357357357357586e+01,-2.408604509588501141e+00
3.865865865865865914e+01,-2.461083775953135877e+00
3.874374374374374241e+01,-2.513361408739741343e+00
3.882882882882882569e+01,-2.565438856093141595e+00
3.891391391391391608e+01,-2.617317548116842918e+00
3.899899899899899935e+01,-2.668998897191229958e+00
3.908408408408408263e+01,-2.720484298284505886e+00
3.916916916916916591e+01,-2.771775129256488945e+00
3.925425425425425630e+01,-2.822872751155534043e+00
3.933933933933933957e+01,-2.873778508508714857e+00
3.942442442442442285e+01,-2.924493729605517345e+00
3.950950950950951324e+01,-2.975019726775148143e+00
3.959459459459459651e+01,-3.025357796657662579e+00
3.967967967967967979e+01,-3.075509220469123228e+00
3.976476476476476307e+01,-3.125475264260864527e+00
3.984984984984984635e+01,-3.175257179173094801e+00
3.993493493493493673e+01,-3.224856201682953394e+00
4.002002002002002001e+01,-3.274273553847164120e+00
4.010510510510510329e+01,-3.323510443539479997e+00
4.019019019019019368e+01,-3.372568064682986311e+00
4.027527527527527695e+01,-3.421447597477431213e+00
4.036036036036036023e+01,-3.470150208621751275e+00
4.044544544544544351e+01,-3.518677051531844846e+00
4.053053053053052679e+01,-3.567029266553769506e+00
4.061561561561561717e+01,-3.615207981172475105e+00
4.070070070070070045e+01,-3.663214310216154956e+00
4.078578578578578373e+01,-3.711049356056394632e+00
4.087087087087087411e+01,-3.758714208804152968e+00
4.095595595595595739e+01,-3.806209946501712071e+00
4.104104104104104067e+01,-3.853537635310735343e+00
4.112612612612612395e+01,-3.900698329696464128e+00
4.121121121121120723e+01,-3.947693072608197795e+00
4.129629629629629761e+01,-3.994522895656142047e+00
4.138138138138138089e+01,-4.041188819284690759e+00
4.146646646646646417e+01,-4.087691852942291426e+00
4.155155155155155455e+01,-4.134032995247898690e+00
4.163663663663663783e+01,-4.180213234154149582e+00
4.172172172172172111e+01,-4.226233547107357325e+00
4.180680680680680439e+01,-4.272094901204345874e+00
4.189189189189189477e+01,-4.317798253346245119e+00
4.197697697697697805e+01,-4.363344550389298249e+00
4.206206206206206133e+01,-4.408734729292789645e+00
4.214714714714714461e+01,-4.453969717264102179e+00
4.223223223223223499e+01,-4.499050431901030933e+00
4.231731731731731827e+01,-4.543977781331370203e+00
4.240240240240240155e+01,-4.588752664349898147e+00
4.248748748748748483e+01,-4.633375970552748413e+00
4.257257257257257521e+01,-4.677848580469292195e+00
4.265765765765765849e+01,-4.722171365691535172e+00
4.274274274274274177e+01,-4.766345189001156335e+00
4.282782782782782505e+01,-4.810370904494165600e+00
4.291291291291291543e+01,-4.854249357703292134e+00
4.299799799799799871e+01,-4.897981385718110481e+00
4.308308308308308199e+01,-4.941567817303027965e+00
4.316816816816816527e+01,-4.985009473013086279e+00
4.325325325325325565e+01,-5.028307165307703386e+00
4.333833833833833893e+01,-5.071461698662353079e+00
4.342342342342342221e+01,-5.114473869678284323e+00
4.350850850850851259e+01,-5.157344467190257298e+00
4.359359359359359587e+01,-5.200074272372370743e+00
4.367867867867867915e+01,-5.242664058842059660e+00
4.376376376376376243e+01,-5.285114592762234054e+00
4.384884884884884571e+01,-5.327426632941643980e+00
4.393393393393393609e+01,-5.369600930933509098e+00
4.401901901901901937e+01,-5.411638231132416266e+00
4.410410410410410265e+01,-5.453539270869587341e+00
4.418918918918919303e+01,-5.495304780506476305e+00
4.427427427427427631e+01,-5.536935483526768564e+00
4.435935935935935959e+01,-5.578432096626849912e+00
4.444444444444444287e+01,-5.619795329804702533e+00
4.452952952952952614e+01,-5.661025886447323074e+00
4.461461461461461653e+01,-5.702124463416669897e+00
4.469969969969969981e+01,-5.743091751134160816e+00
4.478478478478478308e+01,-5.783928433663787949e+00
4.486986986986987347e+01,-5.824635188793832796e+00
4.495495495495495675e+01,-5.865212688117227735e+00
4.504004004004004003e+01,-5.905661597110622552e+00
4.512512512512512330e+01,-5.945982575212132026e+00
4.521021021021020658e+01,-5.986176275897816090e+00
4.529529529529529697e+01,-6.026243346756935182e+00
4.538038038038038025e+01,-6.066184429565954161e+00
4.546546546546546352e+01,-6.106000160361396034e+00
4.555055055055055391e+01,-6.145691169511495744e+00
4.563563563563563719e+01,-6.185258081786702000e+00
4.572072072072072046e+01,-6.224701516429091086e+00
4.580580580580580374e+01,-6.264022087220642021e+00
4.589089089089088702e+01,-6.303220402550452128e+00
4.597597597597597741e+01,-6.342297065480889451e+00
4.606106106106106068e+01,-6.381252673812697118e+00
4.614614614614614396e+01,-6.420087820149103841e+00
4.623123123123123435e+01,-6.458803091958915665e+00
4.631631631631631763e+01,-6.497399071638621848e+00
4.640140140140140090e+01,-6.535876336573575252e+00
4.648648648648648418e+01,-6.574235459198191300e+00
4.657157157157156746e+01,-6.612477007055246325e+00
4.665665665665665784e+01,-6.650601542854265524e+00
4.674174174174174112e+01,-6.688609624529004094e+00
4.682682682682682440e+01,-6.726501805294090808e+00
4.691191191191191479e+01,-6.764278633700783416e+00
4.699699699699699806e+01,-6.801940653691886496e+00
4.708208208208208134e+01,-6.839488404655865494e+00
4.716716716716716462e+01,-6.876922421480132996e+00
4.725225225225224790e+01,-6.914243234603537402e+00
4.733733733733733828e+01,-6.951451370068087776e+00
4.742242242242242156e+01,-6.988547349569888212e+00
4.750750750750750484e+01,-7.025531690509350113e+00
4.759259259259259522e+01,-7.062404906040645081e+00
4.767767767767767850e+01,-7.099167505120421495e+00
4.776276276276276178e+01,-7.135819992555847868e+00
4.784784784784784506e+01,-7.172362869051918111e+00
4.793293293293292834e+01,-7.208796631258085341e+00
4.801801801801801872e+01,-7.245121771814226896e+00
4.810310310310310200e+01,-7.281338779395921890e+00
4.818818818818818528e+01,-7.317448138759114151e+00
4.827327327327327566e+01,-7.353450330784105482e+00
4.835835835835835894e+01,-7.389345832518920965e+00
4.844344344344344222e+01,-7.425135117222083636e+00
4.852852852852852550e+01,-7.460818654404749672e+00
4.861361361361360878e+01,-7.496396909872262704e+00
4.869869869869869916e+01,-7.531870345765124597e+00
4.878378378378378244e+01,-7.567239420599371158e+00
4.886886886886887282e+01,-7.602504589306414928e+00
4.895395395395395610e+01,-7.637666303272289348e+00
4.903903903903903938e+01,-7.672725010376384880e+00
4.912412412412412266e+01,-7.707681155029619369e+00
4.920920920920920594e+01,-7.742535178212090585e+00
4.929429429429429632e+01,-7.777287517510209192e+00
4.937937937937937960e+01,-7.811938607153309455e+00
4.946446446446446288e+01,-7.846488878049777682e+00
4.954954954954955326e+01,-7.880938757822668173e+00
4.963463463463463654e+01,-7.915288670844829788e+00
4.971971971971971982e+01,-7.949539038273579550e+00
4.980480480480480310e+01,-7.983690278084875303e+00
4.988988988988988638e+01,-8.017742805107042514e+00
4.997497497497497676e+01,-8.051697031054047216e+00
5.006006006006006004e+01,-8.085553364558302647e+00
5.014514514514514332e+01,-8.119312211203068230e+00
5.023023023023023370e+01,-8.152973973554379583e+00
5.031531531531531698e+01,-8.186539051192571748e+00
5.040040040040040026e+01,-8.220007840743388527e+00
5.048548548548548354e+01,-8.253380735908658394e+00
5.057057057057056682e+01,-8.286658127496583148e+00
5.065565565565565720e+01,-8.319840403451618016e+00
5.074074074074074048e+01,-8.352927948883946740e+00
5.082582582582582376e+01,-8.385921146098606727e+00
5.091091091091091414e+01,-8.418820374624193192e+00
5.099599599599599742e+01,-8.451626011241199166e+00
5.108108108108108070e+01,-8.484338430010007315e+00
5.116616616616616398e+01,-8.516958002298489205e+00
5.125125125125124725e+01,-8.549485096809265272e+00
5.133633633633633764e+01,-8.581920079606607743e+00
5.142142142142142092e+01,-8.614263314142990069e+00
5.150650650650651130e+01,-8.646515161285313056e+00
5.159159159159159458e+01,-8.678675979340768620e+00
5.167667667667667786e+01,-8.710746124082401565e+00
5.176176176176176114e+01,-8.742725948774324962e+00
5.184684684684684441e+01,-8.774615804196617574e+00
5.193193193193192769e+01,-8.806416038669921065e+00
5.201701701701701808e+01,-8.838126998079703256e+00
5.210210210210210136e+01,-8.869749025900221184e+00
5.218718718718719174e+01,-8.901282463218208818e+00
5.227227227227227502e+01,-8.932727648756220162e+00
5.235735735735735830e+01,-8.964084918895730780e+00
5.244244244244244157e+01,-8.995354607699903582e+00
5.252752752752752485e+01,-9.026537046936109476e+00
5.261261261261260813e+01,-9.057632566098138938e+00
5.269769769769769852e+01,-9.088641492428166657e+00
5.278278278278278179e+01,-9.119564150938407110e+00
5.286786786786787218e+01,-9.150400864432549852e+00
5.295295295295295546e+01,-9.181151953526882181e+00
5.303803803803803874e+01,-9.211817736671193302e+00
5.312312312312312201e+01,-9.242398530169403159e+00
5.320820820820820529e+01,-9.272894648199933698e+00
5.329329329329328857e+01,-9.303306402835847422e+00
5.337837837837837895e+01,-9.333634104064730153e+00
5.346346346346346223e+01,-9.363878059808333987e+00
5.354854854854855262e+01,-9.394038575941996427e+00
5.363363363363363590e+01,-9.424115956313796616e+00
5.371871871871871917e+01,-9.454110502763512613e+00
5.380380380380380245e+01,-9.484022515141331766e+00
5.388888888888888573e+01,-9.513852291326342581e+00
5.397397397397396901e+01,-9.543600127244799225e+00
5.405905905905905939e+01,-9.573266316888183525e+00
5.414414414414414267e+01,-9.602851152331034257e+00
5.422922922922923306e+01,-9.632354923748581044e+00
5.431431431431431633e+01,-9.661777919434150874e+00
5.439939939939939961e+01,-9.691120425816398765e+00
5.448448448448448289e+01,-9.720382727476295059e+00
5.456956956956956617e+01,-9.749565107163952860e+00
5.465465465465464945e+01,-9.778667845815228077e+00
5.473973973973973983e+01,-9.807691222568150735e+00
5.482482482482482311e+01,-9.836635514779130673e+00
5.490990990990991349e+01,-9.865500998039021141e+00
5.499499499499499677e+01,-9.894287946188947913e+00
5.508008008008008005e+01,-9.922996631335996298e+00
5.516516516516516333e+01,-9.951627323868681430e+00
5.525025025025024661e+01,-9.980180292472271120e+00
5.533533533533532989e+01,-1.000865580414390443e+01
5.542042042042042027e+01,-1.003705412420756815e+01
5.550550550550550355e+01,-1.006537551632885830e+01
5.559059059059059393e+01,-1.009362024252963153e+01
5.567567567567567721e+01,-1.012178856320242559e+01
5.576076076076076049e+01,-1.014988073712477146e+01
5.584584584584584377e+01,-1.017789702147330644e+01
5.593093093093092705e+01,-1.020583767183774349e+01
5.601601601601601033e+01,-1.023370294223467880e+01
5.610110110110110071e+01,-1.026149308512125025e+01
5.618618618618618399e+01,-1.028920835140862344e+01
5.627127127127127437e+01,-1.031684899047535708e+01
5.635635635635635765e+01,-1.034441525018058528e+01
5.644144144144144093e+01,-1.037190737687708797e+01
5.652652652652652421e+01,-1.039932561542418021e+01
5.661161161161160749e+01,-1.042667020920048238e+01
5.669669669669669076e+01,-1.045394140011654649e+01
5.678178178178178115e+01,-1.048113942862733161e+01
5.686686686686687153e+01,-1.050826453374454772e+01
5.695195195195195481e+01,-1.053531695304886817e+01
